z,rho
174.8,0.91614371
175,0.9161664
175.2,0.91618895
175.4,0.91621137
175.6,0.91623365
175.8,0.91625581
176,0.91627784
176.2,0.91629973
176.4,0.9163215
176.6,0.91634314
176.8,0.91636465
177,0.91638604
177.2,0.9164073
177.4,0.91642843
177.6,0.91644944
177.8,0.91647033
178,0.91649109
178.2,0.91651173
178.4,0.91653225
178.6,0.91655265
178.8,0.91657293
179,0.91659309
179.2,0.91661313
179.4,0.91663306
179.6,0.91665286
179.8,0.91667255
180,0.91669213
180.2,0.91671159
180.4,0.91673093
180.6,0.91675016
180.8,0.91676928
181,0.91678829
181.2,0.91680718
181.4,0.91682596
181.6,0.91684463
181.8,0.91686319
182,0.91688165
182.2,0.91689999
182.4,0.91691823
182.6,0.91693636
182.8,0.91695438
183,0.91697229
183.2,0.91699011
183.4,0.91700781
183.6,0.91702541
183.8,0.91704291
184,0.91706031
184.2,0.9170776
184.4,0.91709479
184.6,0.91711188
184.8,0.91712887
185,0.91714576
185.2,0.91716255
185.4,0.91717924
185.6,0.91719584
185.8,0.91721233
186,0.91722873
186.2,0.91724503
186.4,0.91726124
186.6,0.91727735
186.8,0.91729337
187,0.91730929
187.2,0.91732512
187.4,0.91734085
187.6,0.9173565
187.8,0.91737205
188,0.91738751
188.2,0.91740288
188.4,0.91741815
188.6,0.91743334
188.8,0.91744844
189,0.91746345
189.2,0.91747837
189.4,0.91749321
189.6,0.91750795
189.8,0.91752261
190,0.91753718
190.2,0.91755167
190.4,0.91756608
190.6,0.91758039
190.8,0.91759463
191,0.91760878
191.2,0.91762284
191.4,0.91763683
191.6,0.91765073
191.8,0.91766455
192,0.91767829
192.2,0.91769195
192.4,0.91770552
192.6,0.91771902
192.8,0.91773244
193,0.91774578
193.2,0.91775904
193.4,0.91777222
193.6,0.91778533
193.8,0.91779835
194,0.91781131
194.2,0.91782418
194.4,0.91783698
194.6,0.91784971
194.8,0.91786235
195,0.91787493
195.2,0.91788743
195.4,0.91789986
195.6,0.91791221
195.8,0.91792449
196,0.9179367
196.2,0.91794884
196.4,0.91796091
196.6,0.9179729
196.8,0.91798483
197,0.91799668
197.2,0.91800847
197.4,0.91802018
197.6,0.91803183
197.8,0.91804341
198,0.91805492
198.2,0.91806636
198.4,0.91807773
198.6,0.91808904
198.8,0.91810028
199,0.91811146
199.2,0.91812257
199.4,0.91813361
199.6,0.91814459
199.8,0.91815551
200,0.91816636
200.2,0.91817714
200.4,0.91818787
200.6,0.91819853
200.8,0.91820912
