f_neg,fast,Chi_sq
0.002,0.132,10.02130517
0.002,0.133,9.702257788
0.002,0.134,9.404560409
0.002,0.135,9.127746378
0.002,0.136,8.871362542
0.002,0.137,8.634968765
0.002,0.138,8.418137465
0.002,0.139,8.220453168
0.002,0.14,8.041512084
0.002,0.141,7.880921697
0.002,0.142,7.738300375
0.002,0.143,7.613276998
0.002,0.144,7.505490594
0.002,0.145,7.414589997
0.002,0.146,7.340233517
0.002,0.147,7.28208862
0.002,0.148,7.239831628
0.002,0.149,7.213147418
0.002,0.15,7.201729151
0.002,0.151,7.205277993
0.002,0.152,7.223502862
0.002,0.153,7.256120175
0.002,0.154,7.302853606
0.002,0.155,7.363433863
0.002,0.156,7.437598456
0.002,0.157,7.52509149
0.002,0.158,7.625663457
0.002,0.159,7.739071039
0.002,0.16,7.865076917
0.002,0.161,8.003449583
0.002,0.162,8.153963172
0.002,0.163,8.316397283
0.002,0.164,8.490536818
0.002,0.165,8.676171824
0.002,0.166,8.873097339
0.002,0.167,9.081113246
0.002,0.168,9.300024127
0.002,0.169,9.529639132
0.002,0.17,9.769771839
0.002,0.171,10.02024013
0.002,0.172,10.28086608
0.002,0.173,10.5514758
0.002,0.174,10.83189937
0.002,0.175,11.1219707
0.002,0.176,11.42152741
0.002,0.177,11.73041077
0.002,0.178,12.04846555
0.002,0.179,12.37553996
0.002,0.18,12.71148553
0.002,0.181,13.05615705
0.002,0.182,13.40941243
0.002,0.183,13.77111269
0.002,0.184,14.14112179
0.002,0.185,14.51930663
0.002,0.186,14.90553693
0.002,0.187,15.29968514
0.002,0.188,15.70162644
0.002,0.189,16.11123856
0.002,0.19,16.52840183
0.002,0.191,16.95299902
0.002,0.192,17.38491534
0.002,0.193,17.82403832
0.002,0.194,18.27025781
0.002,0.195,18.72346588
0.002,0.196,19.18355679
0.002,0.197,19.6504269
0.002,0.198,20.12397467
0.002,0.199,20.60410055
0.002,0.2,21.09070698
0.003,0,9626.87131
0.003,0.001,6421.067825
0.003,0.002,4915.213278
0.003,0.003,3993.876503
0.003,0.004,3360.779505
0.003,0.005,2895.289812
0.003,0.006,2537.205863
0.003,0.007,2252.580634
0.003,0.008,2020.624398
0.003,0.009,1827.81685
0.003,0.01,1664.951509
0.003,0.011,1525.526279
0.003,0.012,1404.810202
0.003,0.013,1299.274459
0.003,0.014,1206.230878
0.003,0.015,1123.594237
0.003,0.016,1049.72131
0.003,0.017,983.2991086
0.003,0.018,923.2655397
0.003,0.019,868.75198
0.003,0.02,819.0409877
0.003,0.021,773.5346777
0.003,0.022,731.7307402
0.003,0.023,693.2040249
0.003,0.024,657.5922363
0.003,0.025,624.5847051
0.003,0.026,593.9134885
0.003,0.027,565.3462547
0.003,0.028,538.6805456
0.003,0.029,513.7391165
0.003,0.03,490.3661231
0.003,0.031,468.4239812
0.003,0.032,447.7907647
0.003,0.033,428.3580362
0.003,0.034,410.0290301
0.003,0.035,392.7171208
0.003,0.036,376.3445272
0.003,0.037,360.8412106
0.003,0.038,346.1439339
0.003,0.039,332.1954545
0.003,0.04,318.9438298
0.003,0.041,306.3418171
0.003,0.042,294.3463536
0.003,0.043,282.9181033
0.003,0.044,272.0210623
0.003,0.045,261.6222131
0.003,0.046,251.6912207
0.003,0.047,242.2001659
0.003,0.048,233.1233089
0.003,0.049,224.4368806
0.003,0.05,216.118898
0.003,0.051,208.1489986
0.003,0.052,200.5082941
0.003,0.053,193.1792396
0.003,0.054,186.1455156
0.003,0.055,179.391923
0.003,0.056,172.9042889
0.003,0.057,166.6693807
0.003,0.058,160.6748299
0.003,0.059,154.9090626
0.003,0.06,149.3612365
0.003,0.061,144.0211838
0.003,0.062,138.8793602
0.003,0.063,133.926797
0.003,0.064,129.1550589
0.003,0.065,124.5562047
0.003,0.066,120.1227516
0.003,0.067,115.8476427
0.003,0.068,111.7242171
0.003,0.069,107.7461823
0.003,0.07,103.9075893
0.003,0.071,100.2028095
0.003,0.072,96.62651303
0.003,0.073,93.17364975
0.003,0.074,89.83943067
0.003,0.075,86.61931149
0.003,0.076,83.50897711
0.003,0.077,80.50432737
0.003,0.078,77.60146382
0.003,0.079,74.79667749
0.003,0.08,72.08643748
0.003,0.081,69.4673804
0.003,0.082,66.93630057
0.003,0.083,64.49014087
0.003,0.084,62.12598423
0.003,0.085,59.84104571
0.003,0.086,57.63266509
0.003,0.087,55.49829996
0.003,0.088,53.43551927
0.003,0.089,51.44199732
0.003,0.09,49.51550809
0.003,0.091,47.65391995
0.003,0.092,45.85519073
0.003,0.093,44.11736307
0.003,0.094,42.43856004
0.003,0.095,40.81698109
0.003,0.096,39.25089815
0.003,0.097,37.73865207
0.003,0.098,36.27864919
0.003,0.099,34.86935815
0.003,0.1,33.50930686
0.003,0.101,32.19707967
0.003,0.102,30.93131471
0.003,0.103,29.71070131
0.003,0.104,28.53397768
0.003,0.105,27.39992858
0.003,0.106,26.30738326
0.003,0.107,25.2552134
0.003,0.108,24.24233123
0.003,0.109,23.26768768
0.003,0.11,22.33027075
0.003,0.111,21.42910381
0.003,0.112,20.56324412
0.003,0.113,19.73178133
0.003,0.114,18.93383615
0.003,0.115,18.16855899
0.003,0.116,17.43512875
0.003,0.117,16.73275162
0.003,0.118,16.06065994
0.003,0.119,15.41811117
